,Year,Type,Country,Area,Location,Activity,Injury,Time
1253,2007.0,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",swimming,FATAL,06:00 - 08:59
1254,2007.0,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,fishing,Thigh bitten,12:00 - 14:59
1255,2007.0,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",surfing,"No injury to surfer, surfboard bitten",06:00 - 08:59
1256,2007.0,Unprovoked,EGYPT,Red Sea,Daedalus Reef ,swimming,"Severe lacerations to lower left leg, ankle and foot",06:00 - 08:59
1259,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Small lacerations to bottom of right big toe,18:00 - 20:59
1260,2007.0,Unprovoked,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,fishing,Left thigh bitten,18:00 - 20:59
1261,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Laceration to right heel,09:00 - 11:59
1262,2007.0,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",surfing,"No injury, surfboard bitten",06:00 - 08:59
1263,2007.0,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",swimming,"Minor injury, shark latched onto his abdomen",15:00 - 17:59
1264,2007.0,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",playing,Puncture wounds & 2-inch laceration to calf,09:00 - 11:59
1265,2007.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",playing,Laceration to right big toe,12:00 - 14:59
1266,2007.0,Unprovoked,USA,South Carolina,Sullivan's Island,playing,Lacerations to left calf and both feet ,18:00 - 20:59
1267,2007.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",playing,Tiny punctures to arm,06:00 - 08:59
1268,2007.0,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",swimming,"3"" laceration to left forearm",09:00 - 11:59
1269,2007.0,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",surfing,Laceration to right heel,15:00 - 17:59
1270,2007.0,Unprovoked,USA,California,"Marina State Beach, Monterey County",surfing,Lacerations to thigh & torso,09:00 - 11:59
1271,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left hand  bitten,12:00 - 14:59
1272,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing, 6 lacerations to left hand,06:00 - 08:59
1275,2007.0,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",swimming,Torso bitten,18:00 - 20:59
1276,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot bitten,12:00 - 14:59
1277,2007.0,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",playing,Right calf bitten,09:00 - 11:59
1278,2007.0,Unprovoked,USA,Florida,Sarasota Bay,swimming,Puncture wounds to torso,21:00 - 23:59
1279,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,"Minor injury, small lacerations to right foot",15:00 - 17:59
1280,2007.0,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",surfing,"Minor injury, lacerations to left ankle & foot ",18:00 - 20:59
1281,2007.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",swimming,Lacerations to right foot,15:00 - 17:59
1282,2007.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",surfing,Lacerations to lower leg & ankle,12:00 - 14:59
1284,2007.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Minor injury to shoulder,12:00 - 14:59
1285,2007.0,Unprovoked,USA,California,"Imperial Beach, San Diego County",surfing,"No injury, shark bit surfboard",21:00 - 23:59
1288,2007.0,Unprovoked,USA,Hawaii,"Bellows Beach near Wailea Point, O'ahu",swimming,Left calf severely bitten,15:00 - 17:59
1289,2007.0,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,playing,Calf bitten,09:00 - 11:59
1290,2007.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow  County",swimming,Right calf bitten,12:00 - 14:59
1293,2007.0,Unprovoked,USA,North Carolina,"Atlantic Beach, Carteret County",playing,Lacerations to right thigh & left foot,12:00 - 14:59
1294,2007.0,Unprovoked,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,fishing,"Lacerations to thumb, ring and pinky fingers of right hand ",09:00 - 11:59
1295,2007.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Right foot bitten,15:00 - 17:59
1296,2007.0,Unprovoked,REUNION,,Boucan Canot,surfing,Minor injuries to thigh & knee ,12:00 - 14:59
1299,2007.0,Unprovoked,USA,California,"Will Rogers State Beach, Los Angeles County",swimming,Hand bitten,09:00 - 11:59
1300,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,6 to 8 puncture wounds to right hand,15:00 - 17:59
1301,2007.0,Unprovoked,USA,Hawaii,"Silva's Channel, Mokuleia, O'ahu",surfing,"No injury, board damaged",06:00 - 08:59
1303,2007.0,Unprovoked,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",swimming,Right foot bitten,09:00 - 11:59
1304,2007.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",surfing,Lacerations to leg & ankle,18:00 - 20:59
1305,2007.0,Unprovoked,USA,South Carolina,Garden City,playing,Lacerations to lower leg,15:00 - 17:59
1308,2007.0,Unprovoked,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",playing,Left heel & calf bitten,12:00 - 14:59
1309,2007.0,Unprovoked,AUSTRALIA,Victoria,Warrnambool,surfing,"No injury, shark's fin caught his leg",15:00 - 17:59
1310,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Knee bitten,15:00 - 17:59
1313,2007.0,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",swimming,Right foot bitten,06:00 - 08:59
1314,2007.0,Unprovoked,USA,Florida,Naples,swimming,Circular bite on left thigh,06:00 - 08:59
1317,2007.0,Unprovoked,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",swimming,Lower leg & foot injured,18:00 - 20:59
1318,2007.0,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",surfing,Left foot bitten,12:00 - 14:59
1319,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to left index finger & thumb ,15:00 - 17:59
1321,2007.0,Unprovoked,NEW CALEDONIA,South Province,Dumbéa,surfing,Left foot bitten,15:00 - 17:59
1322,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Lacerations & puncture wounds to right calf,12:00 - 14:59
1323,2007.0,Unprovoked,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",surfing,Lacerations to right ankle ,12:00 - 14:59
1326,2007.0,Unprovoked,USA,Florida,Jupiter Inlet,surfing,Punctures & lacerations to right calf & calf,18:00 - 20:59
1327,2007.0,Unprovoked,AUSTRALIA,New South Wales,South Golden Beach,surfing,Lacerations to 3 fingers of left hand ,09:00 - 11:59
1329,2007.0,Unprovoked,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",swimming,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",15:00 - 17:59
1330,2007.0,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",surfing,Lacerations to right forearm & hand,12:00 - 14:59
1333,2007.0,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,surfing,Lacerations to  lower left leg & ankle ,06:00 - 08:59
1335,2007.0,Unprovoked,NEW CALEDONIA,North Province,Kaala-Gomen ,swimming,Leg bitten,12:00 - 14:59
1337,2007.0,Unprovoked,AUSTRALIA,New South Wales,Cape Howe,swimming,Head & torso bitten,09:00 - 11:59
1339,2007.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",surfing,"Presumed FATAL, body not recovered",12:00 - 14:59
1340,2007.0,Unprovoked,AUSTRALIA,New South Wales,Sandbar Beach,surfing,"No injury, shark damaged surfboard",06:00 - 08:59
1342,2007.0,Unprovoked,USA,Hawaii,"Majors Bay, Kaua'i",surfing,"No injury, shark removed piece of surfboard",09:00 - 11:59
1343,2006.0,Unprovoked,AUSTRALIA,Victoria,"Winki Pop, Bells Beach",surfing,Left leg bitten,18:00 - 20:59
1344,2006.0,Unprovoked,NEW ZEALAND,North Island,"Raglan, Manu Bay",surfing,Foot bitten,09:00 - 11:59
1345,2006.0,Unprovoked,USA,California,"Dillon Beach, Marin County",surfing,"Minor injuries, surfboard bitten",09:00 - 11:59
1347,2006.0,Unprovoked,AUSTRALIA,Western Australia,Wharton Beach,surfing,"Right leg severed, left leg lacerated",06:00 - 08:59
1349,2006.0,Unprovoked,USA,Hawaii,"Kihei, Maui",swimming,Laceration to left thigh & left hand,12:00 - 14:59
1353,2006.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",surfing,Left ankle bitten,09:00 - 11:59
1355,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Lacerations to foot,12:00 - 14:59
1361,2006.0,Unprovoked,USA,North Carolina,Onslow Beach,surfing,Laceration to left thigh,06:00 - 08:59
1362,2006.0,Unprovoked,USA,Florida,"Singer Island, Riviera Beach",swimming,Minor injury to left hand,12:00 - 14:59
1366,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Puncture wounds and cuts to right thigh,15:00 - 17:59
1367,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,Arm bitten,15:00 - 17:59
1369,2006.0,Unprovoked,USA,Oregon,"Florence, Lane County",surfing,Laceration & puncture wounds to foot,18:00 - 20:59
1370,2006.0,Unprovoked,AUSTRALIA,South Australia,"Pennington Bay, Kangaroo Island",surfing,"No injury, shark towed  surfer & board",15:00 - 17:59
1371,2006.0,Unprovoked,REUNION,Saint-Gilles-les-Bains,"Les Aigrettes, near Boucan-Canot",surfing,Laceration to right calf & heel,18:00 - 20:59
1375,2006.0,Unprovoked,REUNION,Saint-Pierre,Pointe du Diable,surfing,FATAL,09:00 - 11:59
1378,2006.0,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",playing,Lacerations & punctures to left foot,12:00 - 14:59
1381,2006.0,Unprovoked,USA,Oregon,Oswald State Park,surfing,Minor injury,15:00 - 17:59
1384,2006.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Fish Hoek,surfing,"No injury, surf ski bitten",15:00 - 17:59
1385,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor lacerations to right foot,12:00 - 14:59
1388,2006.0,Unprovoked,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",playing,Left ankle & foot bitten,09:00 - 11:59
1390,2006.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",swimming,Ankle & foot bitten,12:00 - 14:59
1392,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Dorsum of left foot bitten,15:00 - 17:59
1393,2006.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",playing,Lower leg & ankle bitten,12:00 - 14:59
1394,2006.0,Unprovoked,USA,South Carolina,"Debordieu Beach, Georgetown County",surfing,Foot bitten,09:00 - 11:59
1395,2006.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",swimming,Right calf bitten,12:00 - 14:59
1398,2006.0,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",surfing,Right calf bitten,09:00 - 11:59
1400,2006.0,Unprovoked,BAHAMAS,Andros Islands,Mangrove Cay,fishing,Right arm severely bitten,12:00 - 14:59
1401,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,2-inch puncture wounds on right foot,12:00 - 14:59
1402,2006.0,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",surfing,Left thigh bitten FATAL,09:00 - 11:59
1403,2006.0,Unprovoked,USA,California,"Monterey, Monterey County",swimming,"No injury, shark bit scuba tank boot",09:00 - 11:59
1404,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Four 1-inch puncture wounds on left foot ,15:00 - 17:59
1405,2006.0,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",playing,Lacerations & puncture wounds to left foot & buttocks,12:00 - 14:59
1406,2006.0,Unprovoked,AUSTRALIA,South Australia,Waitpinga,surfing,"No injury, knocked off surfboard",09:00 - 11:59
1407,2006.0,Unprovoked,USA,Hawaii,O'ahu,fishing,"4"" laceration to left forearm",12:00 - 14:59
1409,2006.0,Unprovoked,USA,Hawaii,"North Shore, O'ahu",surfing,"No injury, shark bumped surfboard",15:00 - 17:59
1411,2006.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",surfing,"Injuries to left thigh, calf & foot",09:00 - 11:59
1412,2006.0,Unprovoked,USA,Guam,Gun Beach,swimming,Laceration to leg,15:00 - 17:59
1414,2006.0,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",swimming,2 lacerations on lower right leg,15:00 - 17:59
1418,2006.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",playing,3 tiny punctures & small lacerations on right ankle,15:00 - 17:59
1420,2006.0,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,surfing,Minor laceration to left foot,12:00 - 14:59
1421,2006.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,surfing,Leg bitten,15:00 - 17:59
1422,2006.0,Unprovoked,BRAZIL,Pernambuco,Piedade,swimming,Left leg bitten,12:00 - 14:59
1423,2006.0,Unprovoked,USA,Florida,"Marco Island, Collier County",playing,Minor injury to right hand & thigh,12:00 - 14:59
1425,2006.0,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",surfing,5 puncture wounds in left calf,09:00 - 11:59
1427,2006.0,Unprovoked,FIJI,Vitu Levu,Sigatoka,surfing,Lacerations to right hand,18:00 - 20:59
1428,2006.0,Unprovoked,AUSTRALIA,New South Wales,"Bondi, Sydney",surfing,"No injury, shark nudged surfboard",15:00 - 17:59
1429,2006.0,Unprovoked,USA,Hawaii,"Makena, Maui",playing,Deep laceration to right calf,15:00 - 17:59
1431,2006.0,Unprovoked,AUSTRALIA,Queensland,"Golden Beach, Caloundra",playing,Lacerations to foot,09:00 - 11:59
1434,2006.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",surfing,2 bite marks on right calf,15:00 - 17:59
1435,2006.0,Unprovoked,TONGA,Vava'u,Tu'anuku,swimming,Severe bite to right leg FATAL,18:00 - 20:59
1438,2006.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Coffee Bay,fishing,Right arm  bitten,12:00 - 14:59
1440,2006.0,Unprovoked,USA,California,"Santa Cruz, Santa Cruz County",surfing,"No injury, but 2 small nicks on wetsuit",21:00 - 23:59
1441,2006.0,Unprovoked,AUSTRALIA,Western Australia,"Off City Beach, Perth",swimming,Lacerations to left elbow,09:00 - 11:59
1443,2006.0,Unprovoked,AUSTRALIA,Queensland,"Amity Point, North Stradbroke Island",swimming,FATAL,15:00 - 17:59
1444,2006.0,Unprovoked,USA,Florida,"Round Island Park, Indian River County",surfing,3 puncture wounds in right wrist & hand,15:00 - 17:59
1446,2005.0,Unprovoked,USA,Oregon,"Tillamook Head, Clatsop County",surfing,Lacerations to ankle & calf,12:00 - 14:59
1447,2005.0,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",swimming,Left hand bitten,09:00 - 11:59
1449,2005.0,Unprovoked,AUSTRALIA,Queensland,St. Crispin Reef,fishing,Right forearm & elbow bitten,09:00 - 11:59
1452,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Right thumb & palm lacerated,12:00 - 14:59
1454,2005.0,Unprovoked,AUSTRALIA,Victoria,Flinders,surfing,"2 lacerations on leg, each 4"" to 5"" long",18:00 - 20:59
1455,2005.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",surfing,"Cut on finger, board bitten",09:00 - 11:59
1456,2005.0,Unprovoked,NEW CALEDONIA,Loyalty Islands,Maré,fishing,Arm bitten,18:00 - 20:59
1457,2005.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",surfing,Left foot bitten,12:00 - 14:59
1458,2005.0,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",surfing,Lacerations to right thigh,12:00 - 14:59
1461,2005.0,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",surfing,Puncture wounds to right foot,12:00 - 14:59
1462,2005.0,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",surfing,"No injury, board bitten",15:00 - 17:59
1463,2005.0,Unprovoked,USA,California,"Ocean Beach, San Francisco, San Francisco County",surfing,"No injury, board bumped",06:00 - 08:59
1465,2005.0,Unprovoked,ST. MAARTIN,Simpson Bay,Sunterra Beach,playing,Lower right leg lacerated,06:00 - 08:59
1466,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Uilenkraalsmond (near Gansbaai),surfing,Right foot bitten,06:00 - 08:59
1467,2005.0,Unprovoked,USA,California,"Klamath River mouth, Del Norte County",surfing,No injury,09:00 - 11:59
1468,2005.0,Unprovoked,USA,California,"Salmon Beach, Sonoma County",surfing,Leg bitten,09:00 - 11:59
1470,2005.0,Unprovoked,USA,Hawaii,"Honokowai, Maui",surfing,"No injury, surfboard bitten",18:00 - 20:59
1471,2005.0,Unprovoked,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,swimming,No injury ,15:00 - 17:59
1472,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Five 1-inch lacerations to left foot,15:00 - 17:59
1474,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunny Cove, Fish Hoek",surfing,"No injury, shark bit ski",15:00 - 17:59
1476,2005.0,Unprovoked,AUSTRALIA,South Australia,Kangaroo Island,surfing,Lacerations to legs,12:00 - 14:59
1477,2005.0,Unprovoked,AUSTRALIA,Western Australia,"Scarborough Beach, Perth",surfing, No injury,06:00 - 08:59
1479,2005.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",surfing,"Injuries to fingers, calf  & heel",15:00 - 17:59
1480,2005.0,Unprovoked,USA,South Carolina,Folly Beach,surfing,FATAL,12:00 - 14:59
1481,2005.0,Unprovoked,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",playing,Left foot & ankle lacerated,18:00 - 20:59
1482,2005.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",playing,Calf severely lacerated,15:00 - 17:59
1483,2005.0,Unprovoked,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",surfing,Lacerations to right arm & thigh,15:00 - 17:59
1484,2005.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Right foot bitten,09:00 - 11:59
1486,2005.0,Unprovoked,AUSTRALIA,South Australia,Glenelg ,swimming,FATAL,15:00 - 17:59
1487,2005.0,Unprovoked,USA,California,"Scripps, LaJolla, San Diego County",surfing,Lower right leg lacerated,09:00 - 11:59
1489,2005.0,Unprovoked,USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County",swimming,Bitten underneath left arm,06:00 - 08:59
1490,2005.0,Unprovoked,USA,Texas,Crystal Beach (east of Galveston),playing,Left foot bitten,18:00 - 20:59
1492,2005.0,Unprovoked,USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County",surfing,Laceration on right wrist & crescent of puncture wounds on  forearm ,09:00 - 11:59
1493,2005.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",swimming,Puncture wounds on left foot ,09:00 - 11:59
1495,2005.0,Unprovoked,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",playing,Laceration on the back of left hand & toothmarks on wrist,18:00 - 20:59
1496,2005.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,"Right foot: Toes and back of foot, minor injury",09:00 - 11:59
1501,2005.0,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",swimming,Lacerations of left forearm,15:00 - 17:59
1502,2005.0,Unprovoked,USA,Texas,"Port Bolivar, Galveston County",boating,Left foot bitten,12:00 - 14:59
1503,2005.0,Unprovoked,USA,Florida,"Boca Grande, Lee County",playing,Ankle bitten,09:00 - 11:59
1504,2005.0,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",fishing,"Leg severely bitten, surgically amputated",09:00 - 11:59
1505,2005.0,Unprovoked,USA,Florida,"Destin, Walton County",swimming,"FATAL, leg bitten",09:00 - 11:59
1506,2005.0,Unprovoked,VANUATU,Malampa Province,Atchin Island off Malakula,swimming,FATAL,12:00 - 14:59
1507,2005.0,Unprovoked,MEXICO ,Baja California,San Luis beach,surfing,Left foot bitten,06:00 - 08:59
1509,2005.0,Unprovoked,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",swimming,Foot bitten,12:00 - 14:59
1511,2005.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",surfing,Foot lacerated,09:00 - 11:59
1513,2005.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller's Point,swimming,FATAL,15:00 - 17:59
1514,2005.0,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",playing,Two 2-inch lacerations on right foot,06:00 - 08:59
1515,2005.0,Unprovoked,USA,Florida,Daytona Beach Shores,swimming,Left foot bitten,15:00 - 17:59
1517,2005.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,surfing,Left buttock  & legs lacerated ,09:00 - 11:59
